attraction,address,rating,types,place_id,lat,lng,reviews,reviews_count
Baiocchi Tasting Room,"82 Main St, Sutter Creek, CA 95685, USA",4.8,"['liquor_store', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",ChIJqc0FmFh7moARmLwFsBVcMHg,38.3947042,-120.8031261,,8
Avio Vineyards,"14520 Ridge Rd, Sutter Creek, CA 95685, USA",4.8,"['food', 'point_of_interest', 'establishment']",ChIJEwI7huF6moARxlIr8qxMPds,38.3966833,-120.7554078,,6
Miller Wine Works,"33 Main St, Sutter Creek, CA 95685, USA",3.0,"['food', 'point_of_interest', 'establishment']",ChIJOSiUslh7moAR4S80_dDyLXk,38.392103,-120.803048,,5
Amador Council on Tourism Visitor Center,"460 Sutter Hill Rd D, Sutter Creek, CA 95685, USA",0.0,"['travel_agency', 'point_of_interest', 'establishment']",ChIJixXYVpx8moARtFuIw2_47RA,38.3793429,-120.8012573,,1
Amador Distillery,"30 Main St, Sutter Creek, CA 95685, USA",5.0,"['liquor_store', 'store', 'food', 'point_of_interest', 'establishment']",ChIJR06tQF97moARC8bNKMuPbx0,38.392708,-120.802553,,0
Old Stump Brewing Co,"2896 Metropolitan Pl, Pomona, CA 91767, USA",4.7,"['food', 'point_of_interest', 'establishment']",ChIJ6SS7uDAuw4ARP4cDurJL8Cc,34.097726,-117.75389,,1
Chase's La Verne,"2136 3rd St, La Verne, CA 91750, USA",4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJfz60VEwuw4ARrT-a5Czf7nY,34.10010219999999,-117.7695698,,11
Laetitia Vineyard and Winery,"453 Laetitia Vineyard Drive, Arroyo Grande, CA 93420, USA",4.6,"['food', 'point_of_interest', 'establishment']",ChIJiaYuI4Fd7IARqIpum9YdF3k,35.092218,-120.5361527,,119
Lopez Lake Recreation Area,"Lopez Dr, Arroyo Grande, CA 93420, USA",4.5,"['natural_feature', 'park', 'point_of_interest', 'establishment']",ChIJV7th0bZh7IARnycLFBzEPJA,35.1940729,-120.4724049,,95
Clark Center for the Performing Arts,"487 Fair Oaks Ave, Arroyo Grande, CA 93420, USA",4.6,"['point_of_interest', 'establishment']",ChIJ5y1IX4Re7IARLjIupSJ7V6U,35.1162747,-120.5819878,,62
Rutiz Family Farms,"1075 The Pike, Arroyo Grande, CA 93420, USA",5.0,"['food', 'point_of_interest', 'establishment']",ChIJWZBhD6Be7IARok-osnDEgdA,35.1060079,-120.5977764,,39
Kynsi Winery,"2212 Corbett Canyon Rd, Arroyo Grande, CA 93420, USA",4.9,"['food', 'point_of_interest', 'establishment']",ChIJG9flvIj17IARANpu0C8brq4,35.1898748,-120.5815339,,35
Mustang Waterpark,"6840 Lopez Dr, Arroyo Grande, CA 93420, USA",4.1,"['amusement_park', 'point_of_interest', 'establishment']",ChIJW0_LZJ9h7IARulaJpHfEtbU,35.20046,-120.458597,,25
Fair Oaks Theatre,"1007 E Grand Ave, Arroyo Grande, CA 93420, USA",4.6,"['movie_theater', 'electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",ChIJTUrcEZde7IARk0_-eCOgrfs,35.11832589999999,-120.5933976,,11
Elm Street Dog Park,"Fair Oaks Ave, Arroyo Grande, CA 93420, USA",0.0,"['premise', 'park', 'point_of_interest', 'establishment']",ChIJx1esEqNe7IARTi95OXoQuYI,35.11286860000001,-120.6013811,,16
Heritage House Museum,"11 Old Slys Rd, Smiths Falls, ON K7A 4T6, Canada",4.7,"['museum', 'point_of_interest', 'establishment']",ChIJUQrOUVaPzUwRd07RkpfLLh4,44.890818,-76.005006,,5
Biddle Regional Park,"3500 Lopez Dr, Arroyo Grande, CA 93420, USA",4.4,"['park', 'point_of_interest', 'establishment']",ChIJ89xQF3Bg7IAREUWp2M7aiy4,35.17906720000001,-120.5167841,,3
Pacific Adventure Tours,"1300 Railroad St, Oceano, CA 93445, USA",5.0,"['travel_agency', 'point_of_interest', 'establishment']",ChIJodSqe1JZ7IAR-vtYWuZqqCw,35.105342,-120.622524,,30
A Glance Into The Past Antiques,"410 E Branch St, Arroyo Grande, CA 93420, USA",4.2,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",ChIJ2yceyIle7IARPmvqFQSu2-o,35.1247381,-120.5745531,,1
Pacific Dunes Ranch Riding Stables,"1205 Silver Spur Pl, Oceano, CA 93445, USA",4.0,"['point_of_interest', 'establishment']",ChIJF51DkAZc7IARgSRtxufIML8,35.0935898,-120.6162933,,23
Mongo's Saloon,"359 W Grand Ave, Grover Beach, CA 93433, USA",3.9,"['night_club', 'bar', 'electronics_store', 'home_goods_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJo2SrtjZZ7IARhKZX4US4dqM,35.1220976,-120.6269969,,14
The Locked Inn,"750 Farroll Rd c, Grover Beach, CA 93433, USA",4.8,"['point_of_interest', 'establishment']",ChIJ0QTCgUxZ7IARyD6wiBTvhoQ,35.1138071,-120.6225631,,4
DG Adventures,"1210 Pike Ln, Oceano, CA 93445, USA",0.0,"['point_of_interest', 'establishment']",ChIJd1Oge6xe7IAR-UidwDd363Y,35.10588,-120.616654,,3
Banner Airways,"561 Air Park Dr, Oceano, CA 93445, USA",5.0,"['point_of_interest', 'establishment']",ChIJBaX86lNZ7IARhcoe5MUrGyU,35.1040303,-120.6247829,,4
Skydive Pismo Beach,"1700 Fountain Ave, Oceano, CA 93445, USA",4.4,"['point_of_interest', 'establishment']",ChIJn6X86lNZ7IAR-wwRtnSyynQ,35.1005329,-120.6186108,,13
Angello's ATV Rentals,"307 Pier Ave, Oceano, CA 93445, USA",3.4,"['store', 'point_of_interest', 'establishment']",ChIJBUJLFlBZ7IARdnSuG0CaOag,35.1059033,-120.6302794,,5
The Luffa Farm,"1457 Willow Rd, Nipomo, CA 93444, USA",4.5,"['food', 'point_of_interest', 'establishment']",ChIJAVWlxU5d7IARy8uG4nK3tmw,35.0472838,-120.5443258,,62
Oceana Casino,"1795 Front St, Oceano, CA 93445, USA",4.0,"['casino', 'bar', 'point_of_interest', 'establishment']",ChIJ_6gK9wFc7IARgvIPM-XN6fE,35.1003609,-120.6144044,,3
Blacklake Golf Resort,"1490 Golf Course Ln, Nipomo, CA 93444, USA",4.1,"['point_of_interest', 'establishment']",ChIJkWJSA1Bd7IARjYABILA1Gts,35.050936,-120.543879,,36
Monarch Dunes Golf Club,"1606 Trilogy Pkwy, Nipomo, CA 93444, USA",4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJIZfj3slC7IARNYjr1O4GtEQ,35.032077,-120.551813,,47
Charles Paddock Zoo,"9100 Morro Rd, Atascadero, CA 93422, USA",4.1,"['zoo', 'amusement_park', 'point_of_interest', 'establishment']",ChIJIakVPjTo7IAROYd7BYSXz3M,35.4668207,-120.6697197,,105
Atascadero Lake Park,"Lago Ave, Atascadero, CA 93422, USA",4.5,"['park', 'point_of_interest', 'establishment']",ChIJoxJm9TTo7IARRP7fs27t0JE,35.4672241,-120.6703524,,71
Faces of Freedom Veterans Memorial,"9029 Morro Rd, Atascadero, CA 93422, USA",5.0,"['point_of_interest', 'establishment']",ChIJne4jdjTo7IARDMqUG6NliIc,35.4688071,-120.6697797,,31
Bristol's Cider House,"3220 El Camino Real, Atascadero, CA 93422, USA",4.5,"['food', 'point_of_interest', 'establishment']",ChIJ8Vx1_8LC7IARRNMYuJ7A_Qg,35.5049905,-120.6916984,,20
Sunken Gardens,"1825 4th St N, St. Petersburg, FL 33704, USA",4.4,"['park', 'point_of_interest', 'establishment']",ChIJV5IKfmXhwogRV3X8VCd713A,27.7895824,-82.6384152,,23
Colony House - Atascadero Historical Society Museum,"6600 Lewis Ave, Atascadero, CA 93422, USA",4.3,"['museum', 'point_of_interest', 'establishment']",ChIJmXjGQIfC7IARONddAodzF4c,35.4892829,-120.6663413,,8
Stadium Park,"90 Commons Dr, Eugene, OR 97401, USA",3.2,"['real_estate_agency', 'point_of_interest', 'establishment']",ChIJtelLOebhwFQRBMa3cAmC3_w,44.061069,-123.05652,,7
Frolicking Frog Cellars,"739 12th Street, Tasting Room, Paso Robles, CA 93446, United States",0.0,"['food', 'point_of_interest', 'establishment']",ChIJw2nDSl3F7IARrK5e7MxMfCU,35.62688,-120.690314,,3
August Ridge Vineyards,"8790 CA-41, Templeton, CA 93465, USA",5.0,"['food', 'point_of_interest', 'establishment']",ChIJCaxp4xPA7IARyM3jkw6yj0Y,35.5343801,-120.5329997,,6
Lacelet Jewelry Gallery,"1114 Burlingame Ave, Burlingame, CA 94010, USA",5.0,"['jewelry_store', 'store', 'point_of_interest', 'establishment']",ChIJ3X8a8fGdj4ARj5o59Row5Ug,37.579538,-122.3459498,,0
Broadway Tennis Center,"60 Edwards Ct, Burlingame, CA 94010, USA",3.8,"['health', 'school', 'point_of_interest', 'establishment']",ChIJEzMGBjJ2j4ARbNJNYjcMY3Y,37.592879,-122.367771,,0
Mount Lassen,"California, USA",4.7,"['natural_feature', 'establishment']",ChIJg9V0fl9SzVQRiDzzElffFcA,40.4880757,-121.50493,,430
Manzanita Lake,"California, USA",4.2,"['natural_feature', 'establishment']",ChIJ2xpTv7BRzVQReJ3VnaomBH8,40.5326867,-121.5673417,,134
Kohm Yah-mah-nee Visitor Center,"21820 Lassen Peak Hwy, Mineral, CA 96063, USA",4.7,"['travel_agency', 'point_of_interest', 'establishment']",ChIJB-61LgFWnYARbtVEPGXqFEw,40.4377913,-121.5338335,,59
Sulphur Works,"California 96061, USA",5.0,"['natural_feature', 'establishment']",ChIJabD3wlBTzVQRv2wzTVmt-pI,40.44869970000001,-121.5368687,,73
Kings Creek Falls,"South Carolina 29664, USA",5.0,"['natural_feature', 'establishment']",ChIJrfDTyhrjWIgRYAkwcuO9sBs,34.9662002,-83.11126159999999,,34
Loomis Museum,"California 89 Scenic, Shingletown, CA 96088, United States",4.7,"['museum', 'point_of_interest', 'establishment']",ChIJEw8HubdRzVQRClPtVypgqFE,40.5361425,-121.5630636,,24
Mill Creek Falls,"Prospect, OR 97536, USA",4.8,"['natural_feature', 'establishment']",ChIJ9Q2OibHixVQR_FRPubtEsrg,42.739572,-122.4942021,,22
Fantastic Lava Beds,"California, USA",5.0,"['natural_feature', 'establishment']",ChIJyQ2Q2mBKzVQRiKztfO4zhzA,40.54738469999999,-121.3199729,,22
Boiling Springs Lake,"Town Creek, NC, USA",0.0,"['locality', 'political']",ChIJg90vKLQFqokRCYHroFLkYeg,34.0304501,-78.0672141,,22
Juniper Lake,"California 96020, USA",5.0,"['natural_feature', 'establishment']",ChIJ7XViNPVenYARJrwXuj6I7zU,40.45154369999999,-121.311269,,18
Chaos Crags and Jumbles,"California, USA",0.0,"['natural_feature', 'establishment']",ChIJDZx6__tRzVQRC2tbR0jUTzw,40.5240482,-121.5222036,,13
Cold Boiling Lake,"California, USA",0.0,"['natural_feature', 'establishment']",ChIJuf6RO9ZXnYARv0x6JW3ATyA,40.4563713,-121.4837325,,11
Warner Valley Trailhead,"Chester, CA 96020, USA",0.0,"['park', 'point_of_interest', 'establishment']",ChIJ0eJD4ABZnYARcgk7egGb168,40.4430797,-121.3971537,,5
Terminal Geyser,"California, USA",4.0,"['natural_feature', 'establishment']",ChIJH5W1X2dZnYARfXhB4d4QVos,40.4212722,-121.3771959,,8
Echo Lake Trail,"California 95721, USA",4.8,"['natural_feature', 'establishment']",ChIJ5-rf_fyLmYARujvuhpBCfEQ,38.84277780000001,-120.0755556,,3
Snag Lake,"California, USA",5.0,"['natural_feature', 'establishment']",ChIJ8wBVQNRKzVQRsdrk-Cl8Ybc,40.5154915,-121.3092939,,5
Lava Cast Forest,"Oregon 97739, USA",0.0,"['natural_feature', 'establishment']",ChIJf5P4xOGQuFQROuV0pfjLKCY,43.8001193,-121.2914132,,1
Cliff Lake,"Idaho 83716, USA",0.0,"['natural_feature', 'establishment']",ChIJr84A0DIgqVQRZqAZwfWntAQ,43.9410752,-115.1246,,2
