attraction,keywords
Petersen Automotive Museum,"['vault tour', 'must see', 'tour guide', 'car lovers', 'car enthusiasts']"
Pfeiffer Beach,"['purple sand', 'big sur', 'parking lot', 'narrow road', 'rock formations']"
Pier 39,"['sea lions', 'tourist trap', 'must see', 'golden gate', 'walk around']"
Pismo Pier,"['watch surfers', 'souvenir shops', 'christmas tree', 'come back', 'look forward']"
Point Lobos,"['sea lions', 'sea otters', 'state reserve', 'state park', 'must see']"
Point Loma,"['tide pools', 'national monument', 'cabrillo national', 'tidal pools', 'must see']"
Presidio of San Francisco,"['golden gate', 'gate bridge', 'walt disney', 'disney family', 'military base']"
Redondo Beach Pier,"['walk around', 'people fishing', 'fresh seafood', 'people watching', 'souvenir shops']"
Robert Mondavi Winery,"['wine tasting', 'tour guide', 'napa valley', 'gift shop', 'signature tour']"
Rodeo Drive,"['beverly hills', 'high end', 'window shopping', 'walk around', 'pretty woman']"
Ronald Reagan Presidential Library and Museum,"['air force', 'force one', 'simi valley', 'titanic exhibit', 'must see']"
Runyon Canyon Park,"['hollywood sign', 'paved road', 'highly recommend', 'people watching', 'make sure']"
Safari West,"['tour guide', 'santa rosa', 'highly recommend', 'year old', 'jeep tour']"
San Diego Zoo,"['bus tour', 'kangaroo bus', 'best zoos', 'whole day', 'polar bear']"
San Diego Zoo Safari Park,"['tram ride', 'cheetah run', 'well worth', 'bird show', 'wild animal']"
San Francisco Bay,"['golden gate', 'gate bridge', 'sea lions', 'fishermans wharf', 'alcatraz island']"
San Francisco Bay Bridge,"['golden gate', 'treasure island', 'light show', 'must see', 'double decker']"
San Francisco Museum of Modern Art (SFMOMA),"['edvard munch', 'sf moma', 'munch exhibit', 'gift shop', 'permanent collection']"
Santa Barbara County Courthouse,"['clock tower', 'must see', 'mural room', 'court house', 'degree views']"
Santa Barbara Zoo,"['train ride', 'well cared', 'year old', 'young children', 'animals seem']"
Santa Cruz Beach Boardwalk,"['amusement park', 'roller coaster', 'giant dipper', 'big dipper', 'sea lions']"
Santa Cruz Wharf,"['sea lions', 'gift shops', 'people fishing', 'amusement park', 'clam chowder']"
Santa Monica Bay,"['ferris wheel', 'venice beach', 'must see', 'well worth', 'people watching']"
Santa Monica Pier,"['ferris wheel', 'amusement park', 'people watching', 'souvenir shops', 'first time']"
Santa Monica State Beach,"['homeless people', 'people watching', 'must see', 'white sand', 'amusement park']"
SeaWorld,"['sea world', 'roller coaster', 'sea lions', 'sea life', 'sea lion']"
Seaport Village,"['uss midway', 'walk around', 'convention center', 'ice cream', 'walking around']"
Seventeen Mile Drive,"['pebble beach', 'golf courses', 'well worth', 'beach golf', 'golf course']"
Six Flags Discovery Kingdom,"['roller coasters', 'season pass', 'season passes', 'dolphin show', 'long lines']"
Six Flags Magic Mountain,"['roller coasters', 'flash pass', 'theme park', 'twisted colossus', 'full throttle']"
South Carlsbad State Beach,"['parking lot', 'easy access', 'right across', 'walking path', 'walking distance']"
Stanford University,"['palo alto', 'hoover tower', 'walk around', 'memorial church', 'rodin sculpture']"
Staples Center,"['lakers game', 'kings game', 'la kings', 'basketball game', 'la lakers']"
State Street,"['people watching', 'shops restaurants', 'farmers market', 'homeless people', 'walk around']"
Stearns Wharf,"['ice cream', 'gift shops', 'state street', 'wine tasting', 'people fishing']"
Sterling Vineyards,"['tram ride', 'wine tasting', 'gondola ride', 'self guided', 'guided tour']"
Sundial Bridge,"['sacramento river', 'turtle bay', 'must see', 'gift shop', 'botanical gardens']"
Sunset Cliffs Natural Park,"['must see', 'well worth', 'pacific ocean', 'walk around', 'rock formations']"
The Broad,"['contemporary art', 'modern art', 'infinity room', 'art museum', 'art collection']"
The Getty Center,"['must see', 'world class', 'art collection', 'tram ride', 'well worth']"
The Getty Villa,"['must see', 'guided tours', 'herb garden', 'gift shop', 'highly recommend']"
The Gondola at Heavenly,"['lake tahoe', 'observation deck', 'zip lines', 'zip line', 'well worth']"
The Grove,"['farmers market', 'outdoor mall', 'shopping mall', 'people watching', 'movie theater']"
"The Huntington Library, Art Collections and Botanical Gardens","['chinese garden', 'rose garden', 'blue boy', 'desert garden', 'gutenberg bible']"
The Queen Mary,"['tour guide', 'princess diana', 'engine room', 'guided tour', 'diana exhibit']"
Third Street Promenade,"['people watching', 'outdoor mall', 'monica pier', 'shopping mall', 'chain stores']"
Torrey Pines Gliderport,"['la jolla', 'hang gliders', 'blacks beach', 'glider port', 'parking lot']"
Torrey Pines State Natural Reserve,"['parking lot', 'hiking trails', 'golf course', 'low tide', 'visitor center']"
Tunnel View,"['yosemite valley', 'half dome', 'el capitan', 'glacier point', 'must see']"
Twin Peaks,"['clear day', 'golden gate', 'gate bridge', 'san fran', 'well worth']"
USS Midway Museum,"['aircraft carrier', 'must see', 'audio tour', 'flight deck', 'well worth']"
Union Square,"['high end', 'homeless people', 'christmas tree', 'cable car', 'ice skating']"
Union Station,"['olvera street', 'art deco', 'downtown la', 'train stations', 'must see']"
Universal CityWalk Hollywood,"['theme park', 'hard rock', 'walk around', 'bubba gump', 'people watching']"
Universal Studios Hollywood,"['harry potter', 'studio tour', 'vip experience', 'jurassic park', 'theme park']"
V. Sattui Winery,"['wine tasting', 'napa valley', 'tasting room', 'picnic tables', 'highly recommend']"
Venice Beach,"['people watching', 'homeless people', 'monica pier', 'souvenir shops', 'abbot kinney']"
Venice Beach Boardwalk,"['people watching', 'people watch', 'homeless people', 'street performers', 'skate park']"
Venice Canals Walkway,"['walk around', 'hidden gem', 'must see', 'short walk', 'washington blvd']"
Vernal Fall,"['mist trail', 'nevada falls', 'muir trail', 'john muir', 'well worth']"
VillageFest,"['palm springs', 'thursday night', 'street fair', 'village fest', 'every thursday']"
Walt Disney Concert Hall,"['frank gehry', 'audio tour', 'guided tour', 'must see', 'self guided']"
Walt Disney Family Museum,"['gift shop', 'golden gate', 'well worth', 'gate bridge', 'must see']"
West Cliff Drive,"['santa cruz', 'natural bridges', 'state park', 'bike ride', 'monterey bay']"
Winchester Mystery House,"['tour guide', 'san jose', 'gift shop', 'well worth', 'extended tour']"
Yosemite Falls,"['well worth', 'must see', 'columbia rock', 'half dome', 'national park']"
Yosemite Valley,"['national park', 'glacier point', 'national parks', 'half dome', 'el capitan']"
Yuma Territorial Prison State Historic Park,"['tour guide', 'old west', 'guided tour', 'well worth', 'must see']"
Zabriskie Point,"['death valley', 'parking lot', 'furnace creek', 'short walk', 'rock formations']"
de Young Museum,"['golden gate', 'gate park', 'american art', 'well worth', 'special exhibits']"
