attraction,url
St. Patrick Catholic Church,https://www.tripadvisor.com/Attraction_Review-g60713-d3564004-Reviews-St_Patrick_Catholic_Church-San_Francisco_California.html
Louise M. Davies Symphony Hall,https://www.tripadvisor.com/Attraction_Review-g60713-d156553-Reviews-Louise_M_Davies_Symphony_Hall-San_Francisco_California.html
Haas - Lilienthal House,https://www.tripadvisor.com/Attraction_Review-g60713-d127938-Reviews-Haas_Lilienthal_House-San_Francisco_California.html
Market Street,https://www.tripadvisor.com/Attraction_Review-g60713-d144424-Reviews-Market_Street-San_Francisco_California.html
Stow Lake,https://www.tripadvisor.com/Attraction_Review-g60713-d104942-Reviews-Stow_Lake-San_Francisco_California.html
"Martin Luther King, Jr. Memorial and Waterfall",https://www.tripadvisor.com/Attraction_Review-g60713-d4318218-Reviews-Martin_Luther_King_Jr_Memorial_and_Waterfall-San_Francisco_California.html
Japan Center,https://www.tripadvisor.com/Attraction_Review-g60713-d311688-Reviews-Japan_Center-San_Francisco_California.html
Golden Gate Park Windmills & Tulips,https://www.tripadvisor.com/Attraction_Review-g60713-d7998276-Reviews-Golden_Gate_Park_Windmills_Tulips-San_Francisco_California.html
San Francisco Art Institute,https://www.tripadvisor.com/Attraction_Review-g60713-d104648-Reviews-San_Francisco_Art_Institute-San_Francisco_California.html
Hayes Valley,https://www.tripadvisor.com/Attraction_Review-g60713-d217843-Reviews-Hayes_Valley-San_Francisco_California.html
Corona Heights,https://www.tripadvisor.com/Attraction_Review-g60713-d265129-Reviews-Corona_Heights-San_Francisco_California.html
Lafayette Park,https://www.tripadvisor.com/Attraction_Review-g60713-d545906-Reviews-Lafayette_Park-San_Francisco_California.html
San Francisco Maritime Museum/Aquatic Park Bathhouse Building,https://www.tripadvisor.com/Attraction_Review-g60713-d127927-Reviews-San_Francisco_Maritime_Museum_Aquatic_Park_Bathhouse_Building-San_Francisco_Califor.html
San Francisco Maritime National Historical Park's Visitor Center,https://www.tripadvisor.com/Attraction_Review-g60713-d4808869-Reviews-San_Francisco_Maritime_National_Historical_Park_s_Visitor_Center-San_Francisco_Cal.html
Clarion Alley Murals,https://www.tripadvisor.com/Attraction_Review-g60713-d7827116-Reviews-Clarion_Alley_Murals-San_Francisco_California.html
"Fort Mason, the Great Meadow",https://www.tripadvisor.com/Attraction_Review-g60713-d128838-Reviews-Fort_Mason_the_Great_Meadow-San_Francisco_California.html
Nordstrom,https://www.tripadvisor.com/Attraction_Review-g60713-d156581-Reviews-Nordstrom-San_Francisco_California.html
Contemporary Jewish Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d143983-Reviews-Contemporary_Jewish_Museum-San_Francisco_California.html
Greenwich Steps,https://www.tripadvisor.com/Attraction_Review-g60713-d142465-Reviews-Greenwich_Steps-San_Francisco_California.html
Autodesk Gallery,https://www.tripadvisor.com/Attraction_Review-g60713-d4982827-Reviews-Autodesk_Gallery-San_Francisco_California.html
Aquarium of the Bay,https://www.tripadvisor.com/Attraction_Review-g60713-d527436-Reviews-Aquarium_of_the_Bay-San_Francisco_California.html
San Francisco Railway Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d631105-Reviews-San_Francisco_Railway_Museum-San_Francisco_California.html
Buena Vista Park,https://www.tripadvisor.com/Attraction_Review-g60713-d265128-Reviews-Buena_Vista_Park-San_Francisco_California.html
Panhandle - Golden Gate Park,https://www.tripadvisor.com/Attraction_Review-g60713-d3510297-Reviews-Panhandle_Golden_Gate_Park-San_Francisco_California.html
San Francisco National Cemetery,https://www.tripadvisor.com/Attraction_Review-g60713-d146089-Reviews-San_Francisco_National_Cemetery-San_Francisco_California.html
Chinese Historical Society of America,https://www.tripadvisor.com/Attraction_Review-g60713-d145241-Reviews-Chinese_Historical_Society_of_America-San_Francisco_California.html
Hidden Garden Steps,https://www.tripadvisor.com/Attraction_Review-g60713-d6754415-Reviews-Hidden_Garden_Steps-San_Francisco_California.html
San Francisco Visitor Information Center,https://www.tripadvisor.com/Attraction_Review-g60713-d3505807-Reviews-San_Francisco_Visitor_Information_Center-San_Francisco_California.html
Embarcadero Center,https://www.tripadvisor.com/Attraction_Review-g60713-d103853-Reviews-Embarcadero_Center-San_Francisco_California.html
Sutro Heights Park,https://www.tripadvisor.com/Attraction_Review-g60713-d3267601-Reviews-Sutro_Heights_Park-San_Francisco_California.html
Women's Building Mural,https://www.tripadvisor.com/Attraction_Review-g60713-d557324-Reviews-Women_s_Building_Mural-San_Francisco_California.html
Noe Valley,https://www.tripadvisor.com/Attraction_Review-g60713-d209304-Reviews-Noe_Valley-San_Francisco_California.html
Diego Rivera Mural,https://www.tripadvisor.com/Attraction_Review-g60713-d2190487-Reviews-Diego_Rivera_Mural-San_Francisco_California.html
GLBT History Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d603315-Reviews-GLBT_History_Museum-San_Francisco_California.html
Dragon's Gate,https://www.tripadvisor.com/Attraction_Review-g60713-d8660947-Reviews-Dragon_s_Gate-San_Francisco_California.html
Alta Plaza Park,https://www.tripadvisor.com/Attraction_Review-g60713-d7733962-Reviews-Alta_Plaza_Park-San_Francisco_California.html
Angel Island Immigration Station,https://www.tripadvisor.com/Attraction_Review-g60713-d255188-Reviews-Angel_Island_Immigration_Station-San_Francisco_California.html
National AIDS Memorial Grove,https://www.tripadvisor.com/Attraction_Review-g60713-d311692-Reviews-National_AIDS_Memorial_Grove-San_Francisco_California.html
Port of San Francisco,https://www.tripadvisor.com/Attraction_Review-g60713-d9806326-Reviews-Port_of_San_Francisco-San_Francisco_California.html
Steinhart Aquarium,https://www.tripadvisor.com/Attraction_Review-g60713-d142466-Reviews-Steinhart_Aquarium-San_Francisco_California.html
The National Shrine of Saint Francis of Assisi,https://www.tripadvisor.com/Attraction_Review-g60713-d1936760-Reviews-The_National_Shrine_of_Saint_Francis_of_Assisi-San_Francisco_California.html
Marina Green,https://www.tripadvisor.com/Attraction_Review-g60713-d545902-Reviews-Marina_Green-San_Francisco_California.html
Heart of the City Farmers' Market,https://www.tripadvisor.com/Attraction_Review-g60713-d614219-Reviews-Heart_of_the_City_Farmers_Market-San_Francisco_California.html
Off the Grid,https://www.tripadvisor.com/Attraction_Review-g60713-d4520274-Reviews-Off_the_Grid-San_Francisco_California.html
Columbus Avenue,https://www.tripadvisor.com/Attraction_Review-g60713-d209629-Reviews-Columbus_Avenue-San_Francisco_California.html
Huntington Park,https://www.tripadvisor.com/Attraction_Review-g60713-d6352225-Reviews-Huntington_Park-San_Francisco_California.html
Warfield Theater,https://www.tripadvisor.com/Attraction_Review-g60713-d1582816-Reviews-Warfield_Theater-San_Francisco_California.html
The Bay Lights,https://www.tripadvisor.com/Attraction_Review-g60713-d7175757-Reviews-The_Bay_Lights-San_Francisco_California.html
Mount Davidson,https://www.tripadvisor.com/Attraction_Review-g60713-d102507-Reviews-Mount_Davidson-San_Francisco_California.html
Muni Forward,https://www.tripadvisor.com/Attraction_Review-g60713-d9806238-Reviews-Muni_Forward-San_Francisco_California.html
The Fillmore,https://www.tripadvisor.com/Attraction_Review-g60713-d102418-Reviews-The_Fillmore-San_Francisco_California.html
Cellarmaker Brewing Company,https://www.tripadvisor.com/Attraction_Review-g60713-d8005453-Reviews-Cellarmaker_Brewing_Company-San_Francisco_California.html
American Conservatory Theater,https://www.tripadvisor.com/Attraction_Review-g60713-d103932-Reviews-American_Conservatory_Theater-San_Francisco_California.html
San Francisco Bay Trail,https://www.tripadvisor.com/Attraction_Review-g60713-d117150-Reviews-San_Francisco_Bay_Trail-San_Francisco_California.html
Pepper Palace,https://www.tripadvisor.com/Attraction_Review-g60713-d6881987-Reviews-Pepper_Palace-San_Francisco_California.html
Queen Anne Victorians,https://www.tripadvisor.com/Attraction_Review-g60713-d106239-Reviews-Queen_Anne_Victorians-San_Francisco_California.html
Pier 24 Photography Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d6484248-Reviews-Pier_24_Photography_Museum-San_Francisco_California.html
Letterman Digital and New Media Arts Center,https://www.tripadvisor.com/Attraction_Review-g60713-d10293543-Reviews-Letterman_Digital_and_New_Media_Arts_Center-San_Francisco_California.html
Macondray Lane,https://www.tripadvisor.com/Attraction_Review-g60713-d219469-Reviews-Macondray_Lane-San_Francisco_California.html
Levi's Plaza Park,https://www.tripadvisor.com/Attraction_Review-g60713-d6212675-Reviews-Levi_s_Plaza_Park-San_Francisco_California.html
Museum of the African Diaspora,https://www.tripadvisor.com/Attraction_Review-g60713-d588551-Reviews-Museum_of_the_African_Diaspora-San_Francisco_California.html
Camera Obscura,https://www.tripadvisor.com/Attraction_Review-g60713-d254548-Reviews-Camera_Obscura-San_Francisco_California.html
Portsmouth Square,https://www.tripadvisor.com/Attraction_Review-g60713-d7751526-Reviews-Portsmouth_Square-San_Francisco_California.html
Ripley s Believe It or Not! San Francisco,https://www.tripadvisor.com/Attraction_Review-g60713-d2420049-Reviews-Ripley_s_Believe_It_or_Not_San_Francisco-San_Francisco_California.html
Presidio Officers’ Club,https://www.tripadvisor.com/Attraction_Review-g60713-d8027662-Reviews-Presidio_Officers_Club-San_Francisco_California.html
Hotaling & Co.,https://www.tripadvisor.com/Attraction_Review-g60713-d10817710-Reviews-Hotaling_Co-San_Francisco_California.html
Golden Gate Theatre,https://www.tripadvisor.com/Attraction_Review-g60713-d1822731-Reviews-Golden_Gate_Theatre-San_Francisco_California.html
Cupid's Span,https://www.tripadvisor.com/Attraction_Review-g60713-d9806715-Reviews-Cupid_s_Span-San_Francisco_California.html
Marshall’s Beach,https://www.tripadvisor.com/Attraction_Review-g60713-d8453923-Reviews-Marshall_s_Beach-San_Francisco_California.html
Sentinel Building,https://www.tripadvisor.com/Attraction_Review-g60713-d7035001-Reviews-Sentinel_Building-San_Francisco_California.html
Bill Graham Civic Auditorium,https://www.tripadvisor.com/Attraction_Review-g60713-d156310-Reviews-Bill_Graham_Civic_Auditorium-San_Francisco_California.html
Embarcadero Center Cinema,https://www.tripadvisor.com/Attraction_Review-g60713-d8028434-Reviews-Embarcadero_Center_Cinema-San_Francisco_California.html
Local Brewing Co.,https://www.tripadvisor.com/Attraction_Review-g60713-d8777422-Reviews-Local_Brewing_Co-San_Francisco_California.html
Cartoon Art Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d104946-Reviews-Cartoon_Art_Museum-San_Francisco_California.html
Xanadu Gallery (V. C. Morris Gift Shop),https://www.tripadvisor.com/Attraction_Review-g60713-d561133-Reviews-Xanadu_Gallery_V_C_Morris_Gift_Shop-San_Francisco_California.html
SHN Curran Theatre,https://www.tripadvisor.com/Attraction_Review-g60713-d4039071-Reviews-SHN_Curran_Theatre-San_Francisco_California.html
Hendric Point,https://www.tripadvisor.com/Attraction_Review-g60713-d2440554-Reviews-Hendric_Point-San_Francisco_California.html
Mrs Doubtfire House,https://www.tripadvisor.com/Attraction_Review-g60713-d10483994-Reviews-Mrs_Doubtfire_House-San_Francisco_California.html
BATS Improv,https://www.tripadvisor.com/Attraction_Review-g60713-d531846-Reviews-BATS_Improv-San_Francisco_California.html
SoMa,https://www.tripadvisor.com/Attraction_Review-g60713-d108677-Reviews-SoMa-San_Francisco_California.html
American Bookbinders Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d9782045-Reviews-American_Bookbinders_Museum-San_Francisco_California.html
Transamerica Redwood Park,https://www.tripadvisor.com/Attraction_Review-g60713-d8611780-Reviews-Transamerica_Redwood_Park-San_Francisco_California.html
Cow Hollow,https://www.tripadvisor.com/Attraction_Review-g60713-d209303-Reviews-Cow_Hollow-San_Francisco_California.html
Stonestown Galleria,https://www.tripadvisor.com/Attraction_Review-g60713-d156664-Reviews-Stonestown_Galleria-San_Francisco_California.html
San Francisco Flower Mart,https://www.tripadvisor.com/Attraction_Review-g60713-d2155715-Reviews-San_Francisco_Flower_Mart-San_Francisco_California.html
Pacific Union Club,https://www.tripadvisor.com/Attraction_Review-g60713-d116449-Reviews-Pacific_Union_Club-San_Francisco_California.html
Yerba Buena Center for the Arts,https://www.tripadvisor.com/Attraction_Review-g60713-d104945-Reviews-Yerba_Buena_Center_for_the_Arts-San_Francisco_California.html
Beach Chalet,https://www.tripadvisor.com/Attraction_Review-g60713-d156308-Reviews-Beach_Chalet-San_Francisco_California.html
Grateful Dead House,https://www.tripadvisor.com/Attraction_Review-g60713-d142385-Reviews-Grateful_Dead_House-San_Francisco_California.html
Maison Bleu Maxime Le Forestier,https://www.tripadvisor.com/Attraction_Review-g60713-d7236989-Reviews-Maison_Bleu_Maxime_Le_Forestier-San_Francisco_California.html
San Francisco Pride,https://www.tripadvisor.com/Attraction_Review-g60713-d8820350-Reviews-San_Francisco_Pride-San_Francisco_California.html
Neptune Society Columbarium,https://www.tripadvisor.com/Attraction_Review-g60713-d156576-Reviews-Neptune_Society_Columbarium-San_Francisco_California.html
Don Edwards San Francisco Bay Wildlife Refuge,https://www.tripadvisor.com/Attraction_Review-g60713-d117077-Reviews-Don_Edwards_San_Francisco_Bay_Wildlife_Refuge-San_Francisco_California.html
Stockton Street,https://www.tripadvisor.com/Attraction_Review-g60713-d209630-Reviews-Stockton_Street-San_Francisco_California.html
Saks Fifth Avenue,https://www.tripadvisor.com/Attraction_Review-g60713-d156620-Reviews-Saks_Fifth_Avenue-San_Francisco_California.html
California Welcome Center,https://www.tripadvisor.com/Attraction_Review-g60713-d3803982-Reviews-California_Welcome_Center-San_Francisco_California.html
Book Passage,https://www.tripadvisor.com/Attraction_Review-g60713-d6855822-Reviews-Book_Passage-San_Francisco_California.html
